away_score,away_team,date,home_score,home_team
1,Porto,2019-11-10,0,Boavista
1,Porto,2019-12-08,1,Belenenses SAD
1,Rangers,2019-10-24,1,Porto
1,Rio Ave,2018-09-15,2,Benfica
1,Rio Ave,2018-12-23,2,Porto
1,Roma,2019-03-06,3,Porto
1,Santa Clara,2019-05-18,4,Benfica
1,SC Braga,2019-08-18,2,Sporting
1,SC Braga,2019-12-18,2,Benfica
1,Schalke 04,2018-11-28,3,Porto
1,Sporting,2018-07-12,2,Neuchâtel Xamax
1,Sporting,2018-08-25,1,Benfica
1,Sporting,2019-01-07,2,CD Tondela
1,Sporting,2019-01-30,1,V. Setúbal
1,Sporting,2019-02-06,2,Benfica
1,Sporting,2019-02-21,1,Villarreal
1,Sporting,2019-04-19,0,Nacional
1,Sporting,2019-05-18,2,Porto
1,Sporting,2019-07-10,2,FC Rapperswil-Jona
1,Sporting,2019-08-11,1,Marítimo
1,Sporting,2019-09-15,1,Boavista
1,Sporting,2019-09-30,0,CD Aves
1,Sporting,2019-12-01,3,Gil Vicente
1,Stade-Lausanne,2018-07-16,4,Sporting
1,V. Guimarães,2019-10-27,3,Sporting
1,Vilafranquense,2019-11-22,1,Sporting
1,Villarreal,2019-02-14,0,Sporting
1,V. Setúbal,2018-08-18,2,Sporting
1,Young Boys,2019-09-19,2,Porto
2,Anderlecht,2019-07-10,1,Benfica
2,Bayern München,2018-09-19,0,Benfica
2,Belenenses SAD,2019-03-11,2,Benfica
2,Benfica,2018-08-18,0,Boavista
2,Benfica,2018-09-27,2,GD Chaves
2,Benfica,2019-01-11,0,Santa Clara
2,Benfica,2019-02-14,1,Galatasaray
2,Benfica,2019-03-02,1,Porto
2,Benfica,2019-07-25,1,Fiorentina
2,Benfica,2019-08-17,0,Belenenses SAD
2,Benfica,2019-09-21,1,Moreirense
2,Benfica,2019-11-09,1,Santa Clara
2,Benfica,2019-11-23,1,FC Vizela
2,Benfica,2019-11-27,2,RB Leipzig
2,Benfica,2019-12-21,2,V. Setúbal
2,CD Mafra,2018-07-25,1,Sporting
2,Eintracht Frankfurt,2019-04-11,4,Benfica
2,Estoril Praia,2018-08-02,1,Sporting
2,Estoril Praia,2018-10-31,1,Sporting
2,Farense,2019-07-24,4,Porto
2,FC Famalicão,2019-09-23,1,Sporting
2,Feyenoord,2019-12-12,3,Porto
2,Nacional,2018-12-16,5,Sporting
2,Porto,2018-07-25,0,Farense
2,Porto,2018-09-22,0,V. Setúbal
2,Porto,2018-11-03,0,Marítimo
2,Porto,2018-12-15,1,Santa Clara
2,Porto,2018-12-30,1,Belenenses SAD
2,Porto,2019-01-15,1,Leixões
2,Porto,2019-03-10,1,Feirense
2,Porto,2019-04-26,2,Rio Ave
2,Porto B,2019-07-31,6,Porto
2,Porto,2019-08-24,0,Benfica
2,Porto,2019-11-28,1,Young Boys
2,RB Leipzig,2019-09-17,1,Benfica
2,Rio Ave,2018-12-19,5,Sporting
2,Rio Ave,2019-01-06,4,Benfica
2,Rio Ave,2019-09-26,1,Sporting
2,SC Braga,2018-12-23,6,Benfica
2,Sporting,2018-10-04,1,Vorskla
2,Sporting,2018-10-07,4,Portimonense
2,Sporting,2018-10-20,1,GS Loures
2,Sporting,2018-11-04,1,Santa Clara
2,Sporting,2019-01-16,0,Feirense
2,Sporting,2019-03-09,1,Boavista
2,Sporting,2019-07-13,2,St. Gallen
2,Sporting,2019-07-25,2,Liverpool
2,Sporting,2019-09-19,3,PSV
2,Sporting,2019-10-31,1,Paços de Ferreira
2,Sporting,2019-11-07,0,Rosenborg
2,Sporting,2019-12-04,0,Gil Vicente
2,Valencia,2019-07-28,1,Sporting
2,Varzim,2018-10-31,4,Porto
2,V. Guimarães,2018-08-10,3,Benfica
2,V. Setúbal,2019-04-14,4,Benfica
3,Benfica,2018-10-02,2,AEK
3,Benfica,2018-10-18,0,Sertanense
3,Benfica,2018-11-11,1,CD Tondela
3,Benfica,2019-02-18,0,CD Aves
3,Benfica,2019-05-12,2,Rio Ave
3,FK Krasnodar,2019-08-13,2,Porto
3,Lyon,2018-08-01,2,Benfica
3,Moreirense,2018-11-02,1,Benfica
3,Moreirense,2018-12-18,4,Porto
3,Porto,2018-08-19,2,Belenenses SAD
3,Porto,2018-10-24,1,Lokomotiv
3,Porto,2018-12-11,2,Galatasaray
3,Porto,2019-01-22,1,Benfica
3,Porto,2019-02-22,0,CD Tondela
3,Porto,2019-03-30,2,SC Braga
3,Porto,2019-04-13,0,Portimonense
3,Porto,2019-09-15,2,Portimonense
3,Porto,2019-12-05,0,Casa Pia
3,Rio Ave,2019-08-31,2,Sporting
3,Sporting,2018-08-12,1,Moreirense
3,Sporting,2018-12-03,1,Rio Ave
3,Sporting,2019-01-26,1,Porto
3,Sporting,2019-02-10,1,Feirense
3,Sporting,2019-03-30,1,GD Chaves
3,Sporting,2019-04-13,1,CD Aves
3,Sporting,2019-07-19,4,Club Brugge
3,Sporting,2019-08-25,1,Portimonense
3,V. Guimarães,2018-08-25,2,Porto
4,Benfica,2018-07-26,3,Borussia Dortmund
4,Benfica,2018-08-29,1,PAOK
4,Benfica,2018-09-02,0,Nacional
4,Benfica,2019-02-03,2,Sporting
4,Benfica,2019-03-17,0,Moreirense
4,Benfica,2019-04-07,1,Feirense
4,Benfica,2019-04-28,1,SC Braga
4,Benfica,2019-09-01,0,SC Braga
4,Benfica,2019-10-18,0,CD Cova Piedade
4,Benfica,2019-12-06,1,Boavista
4,Juventus,2018-07-28,2,Benfica
4,Liverpool,2019-04-17,1,Porto
4,Porto,2019-01-18,1,GD Chaves
4,Porto,2019-05-12,0,Nacional
4,Porto,2019-05-25,5,Sporting
4,Porto,2019-12-22,2,GD Chaves
4,Real Betis,2019-07-19,5,Porto
4,Sporting,2018-11-24,1,Lusitano Vildemoinhos
4,Sporting,2018-12-29,1,Feirense
4,Sporting,2019-01-23,3,SC Braga
4,Sporting,2019-12-16,0,Santa Clara
4,Sporting,2019-12-21,2,Portimonense
5,Benfica,2018-07-18,0,Swindon Town
5,Benfica,2019-07-23,0,Ocean City Nor´easters
5,Empoli,2018-08-05,4,Sporting
5,Porto,2019-10-19,0,SC Coimbrões
6,Benfica,2019-07-26,0,Baltimore Christos
6,Porto,2018-10-19,0,Vila Real
6,Sporting,2018-07-11,0,Lancy FC
6,Sporting,2018-11-29,1,Karabakh
8,Benfica,2019-07-13,0,Académica OAF
8,Sporting,2019-05-05,1,Belenenses SAD
9,Benfica,2019-07-17,1,Academica Soccer Club
